Month;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;NumofLoan;Type_of_Loan;Delay_from_due_date;NumofDelayedPayment;ChangedCreditLimit;Num_Credit_Inquiries;CreditMix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Monthly_Balance;Credit_Score
June;50;Scientist;62320.56;5068.38;9;9;18;5;Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan;23;;17.24;15;Bad;3589.56;34.75027783;1 Years and 9 Months;Yes;171.3455597;;513.5324196;Standard
July;28;Scientist;62320.56;5068.38;9;9;3366;5;Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan;23;15;17.24;15;Bad;3589.56;23.11643716;1 Years and 10 Months;Yes;171.3455597;;500.6954389;Standard
August;28;Scientist;62320.56;5068.38;9;9;18;5;Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan;23;15;17.24;15;;3589.56;38.3374493;1 Years and 11 Months;NM;171.3455597;171.5108634;423.9815769;Standard
January;25;Manager;43758.34;3454.528333;5;6;12;2;Personal Loan, and Payday Loan;9;2;4.18;1;Good;1194.28;29.31789666;33 Years and 1 Months;No;56.31142051;229.2590696;319.8823432;Good
February;25;Manager;43758.34;3454.528333;5;6;12;2;Personal Loan, and Payday Loan;13;2;4.18;1;Good;1194.28;27.69852435;33 Years and 2 Months;No;56.31142051;417.5305244;161.6108884;Good
March;25;Manager;43758.34;3454.528333;5;6;5565;2;Personal Loan, and Payday Loan;18;2;4.18;2;Good;1194.28;26.01121877;33 Years and 3 Months;No;56.31142051;;485.3073541;Good
April;25;_______;43758.34;3454.528333;5;6;12;-100;Personal Loan, and Payday Loan;13;1;4.18;2;Good;1194.28;32.4590762;33 Years and 4 Months;No;56.31142051;10000;384.1566324;Good
May;25;Manager;43758.34;;5;6;12;2;Personal Loan, and Payday Loan;13;0;;2;Good;1194.28;30.68567908;33 Years and 5 Months;No;56.31142051;389.0516109;190.0898019;Good
June;25;_______;43758.34;3454.528333;5;6;12;2;Personal Loan, and Payday Loan;13;5;4.18;2;Good;1194.28;27.26513495;33 Years and 6 Months;No;56.31142051;147.5732176;401.5681952;Good
July;25;Manager;43758.34;3454.528333;5;6;12;2;Personal Loan, and Payday Loan;13;2;4.18;2;;1194.28;31.25060109;33 Years and 7 Months;No;56.31142051;36.81438811;492.3270247;Standard
August;25;_______;43758.34;3454.528333;5;6;12;2;Personal Loan, and Payday Loan;11;2;4.18;2;Good;1194.28;35.74253977;33 Years and 8 Months;No;56.31142051;364.2379929;214.9034199;Good
January;20;Writer;144881.68;11877.47333;3;4;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;6;13;10.1;2;Standard;404.51;33.90967515;25 Years and 9 Months;Yes;414.6560132;10000;738.2518345;Standard
February;20;Writer;144881.68;11877.47333;3;848;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;10;15;10.1;2;Standard;404.51;30.92453971;NA;Yes;44581;237.605283;775.4860371;Standard
March;20;Writer;144881.68;11877.47333;3;4;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;5;13;10.1;2;;404.51;36.28893236;NA;Yes;414.6560132;1270.327961;;Standard
April;20;Writer;144881.68;11877.47333;3;4;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;5;13;13.1;2;;404.51;39.2763797;26 Years and 0 Months;Yes;414.6560132;990.2115188;72.87980133;Standard
May;20;Writer;144881.68;11877.47333;3;4;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;5;16;10.1;2;;404.51;35.32552064;26 Years and 1 Months;Yes;414.6560132;443.9157278;579.1755923;Standard
June;20;Writer;144881.68;11877.47333;3;4;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;4;13;10.1;2;;404.51;28.15605347;26 Years and 2 Months;Yes;23703;757.8121973;275.2791228;Standard
July;20;Writer;144881.68;11877.47333;3;4;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;1;13;8.1;2;Standard;404.51;34.78184822;26 Years and 3 Months;Yes;414.6560132;1075.415681;;Standard
August;20;Writer;144881.68;11877.47333;3;4;15;4;Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan;3;12;10.1;2;Standard;404.51;37.53634766;26 Years and 4 Months;Yes;414.6560132;553.2672857;479.8240344;Standard
January;38;Media_Manager;108147.3;8926.275;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;14;20;7.57;0;Standard;1113.06;36.42376664;28 Years and 9 Months;Yes;211.1795816;328.4800428;612.9678757;Standard
February;38;Media_Manager;108147.3;8926.275;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;13;19;7.57;0;Standard;1113.06;39.57269231;28 Years and 10 Months;Yes;211.1795816;799.3782051;162.0697133;Standard
March;38;Media_Manager;108147.3;8926.275;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;14;21;7.57;0;Standard;1113.06;27.29590216;NA;Yes;211.1795816;116.5331164;804.914802;Standard
April;38;Media_Manager;108147.3;8926.275;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;14;;7.57;0;Standard;1113.06;30.40254793;29 Years and 0 Months;Yes;211.1795816;10000;778.6118203;Standard
May;38;Media_Manager;108147.3;;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;14;20;;0;Standard;1113.06;29.97751441;29 Years and 1 Months;Yes;211.1795816;184.5925317;736.8553868;Standard
June;38;Media_Manager;108147.3;8926.275;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;14;20;7.57;2;;1113.06;38.51521527;NA;Yes;211.1795816;122.7035818;808.7443366;Standard
July;38;Media_Manager;108147.3;8926.275;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;13;20;3.57;2;Standard;1113.06;28.12417326;29 Years and 3 Months;Yes;211.1795816;366.4328884;565.0150301;Good
August;38;Media_Manager;108147.3;8926.275;3;6;6;4;Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan;14;20;7.57;2;Standard;1113.06;35.89139751;29 Years and 4 Months;Yes;37514;946.1555103;25.29240814;Good
January;27;Lawyer;17759.1;1533.925;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;20;20;5.2;10;Bad;3598.39;27.22856802;4 Years and 9 Months;Yes;64.55062049;190.0547612;188.7871183;Standard
February;27;Lawyer;17759.1;;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;24;20;5.2;10;Bad;3598.39;38.05162518;NA;Yes;64.55062049;114.1743166;264.6675629;Poor
March;27;Lawyer;17759.1;1533.925;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;24;21;10.2;10;Bad;3598.39;39.37829033;4 Years and 11 Months;Yes;64.55062049;130.3179505;228.523929;Poor
April;27;Lawyer;17759.1;1533.925;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;24;20;5.2;10;Bad;3598.39;29.44796845;5 Years and 0 Months;Yes;64.55062049;195.1092462;183.7326333;Poor
May;27;Lawyer;17759.1;1533.925;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;24;;5.2;10;Bad;3598.39;30.14370368;5 Years and 1 Months;NM;64.55062049;206.4503839;172.3914957;Standard
June;27;Lawyer;17759.1;1533.925;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;24;;5.2;10;;3598.39;35.28592081;5 Years and 2 Months;NM;64.55062049;157.3673523;211.4745272;Poor
July;28;Lawyer;17759.1;1533.925;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;24;23;10.2;10;Bad;3598.39;26.49577649;5 Years and 3 Months;Yes;64.55062049;170.5238203;208.3180592;Poor
August;28;Lawyer;17759.1;1533.925;6;8;19;5;Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan;26;20;5.2;10;Bad;3598.39;28.18214114;5 Years and 4 Months;Yes;64.55062049;123.0800366;245.7618429;Poor
January;37;Teacher;85328.73;6858.7275;3;4;11;1;Student Loan;11;17;1.83;1;Good;585.05;28.02456085;31 Years and 7 Months;No;68.45896611;145.0907844;712.3229995;Good
February;37;Teacher;85328.73;6858.7275;3;4;11;1;Student Loan;12;18;6.83;2;Good;585.05;28.27046488;NA;No;68.45896611;106.5877387;750.8260452;Good
March;37;Teacher;85328.73;6858.7275;3;4;11;1;Student Loan;7;17;1.83;;Good;585.05;29.33563866;31 Years and 9 Months;No;68.45896611;318.3073417;579.1064422;Good
April;37;Teacher;85328.73;6858.7275;3;4;11;1;Student Loan;12;17;-2.17;2;Good;585.05;30.07533269;31 Years and 10 Months;No;68.45896611;203.0705331;694.3432508;Good
May;37;_______;85328.73;6858.7275;3;4;11;1;Student Loan;12;14;1.83;2;Good;585.05;38.05151985;31 Years and 11 Months;No;68.45896611;95.81963874;771.5941452;Good
June;37;Teacher;85328.73;6858.7275;3;4;11;1;Student Loan;12;14;1.83;2;Good;585.05;37.64923016;32 Years and 0 Months;No;68.45896611;137.1702844;720.2434995;Good
July;37;Teacher;85328.73;;3;4;11;1;Student Loan;12;17;1.83;2;Good;585.05;25.71911559;32 Years and 1 Months;NM;68.45896611;440.1803239;467.23346;Good
August;37;Teacher;85328.73;6858.7275;528;4;11;1;Student Loan;17;834;1.83;2;;585.05;22.56544762;32 Years and 2 Months;No;68.45896611;610.8695367;286.5442472;Good
January;26;Writer;134321.44;11064.45333;3;5;12;4;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;26;19;11.09;3;Standard;1428.68;26.75528646;32 Years and 8 Months;Yes;253.6882437;715.7040605;417.0530291;Standard
February;26;Writer;134321.44;11064.45333;3;5;12;-100;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;26;19;11.09;3;Standard;1428.68;39.90369227;32 Years and 9 Months;Yes;253.6882437;10000;335.9725019;Standard
March;26;Writer;134321.44;11064.45333;3;5;12;1464;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;26;21;4.09;3;Standard;1428.68;34.22349216;32 Years and 10 Months;Yes;253.6882437;;949.50237;Standard
April;27;Writer;134321.44;9997.592514;3;5;12;4;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;26;22;11.09;3;;1428.68;37.94748333;32 Years and 11 Months;Yes;1320.549063;461.5302283;641.2268614;Standard
May;27;Writer;134321.44;9997.592514;3;5;12;4;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;26;21;11.09;3;Standard;1428.68;31.98128604;33 Years and 0 Months;Yes;1320.549063;259.4569536;833.300136;Good
June;27;Writer;134321.44;;3;5;12;4;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;26;19;11.09;3;Standard;1428.68;40.96972833;33 Years and 1 Months;Yes;1320.549063;598.8624397;513.89465;Good
July;27;Writer;134321.44;9997.592514;3;5;12;4;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;26;19;12.09;3;Standard;1428.68;24.28560556;33 Years and 2 Months;Yes;1320.549063;530.8205695;581.9365201;Good
August;27;Writer;134321.44;9997.592514;3;5;12;4;Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan;29;20;11.09;3;Standard;1428.68;35.52332578;33 Years and 3 Months;NM;1320.549063;209.5174827;893.2396069;Standard
January;24;Lawyer;61008;5235;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;16;19;19.44;12;Standard;1755.81;27.37324216;8 Years and 9 Months;Yes;189.4265307;218.2076697;365.8657996;Poor
February;24;Lawyer;61008;5235;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;16;19;19.44;12;Standard;1755.81;32.45474799;8 Years and 10 Months;Yes;189.4265307;677.4251029;;Poor
March;24;Lawyer;61008;5235;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;16;19;19.44;12;Standard;1755.81;32.98956713;8 Years and 11 Months;Yes;189.4265307;165.2171154;438.8563539;Poor
April;24;Lawyer;61008;5235;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;16;19;19.44;12;Standard;1755.81;32.85587002;9 Years and 0 Months;Yes;20478;73.60092894;500.4725404;Poor
May;24;_______;61008;;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;16;20;19.44;12;Standard;1755.81;29.51708332;9 Years and 1 Months;Yes;189.4265307;255.8771888;358.1962805;Standard
June;24;Lawyer;61008;5235;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;16;19;19.44;12;;1755.81;29.07238717;9 Years and 2 Months;Yes;189.4265307;201.6860912;382.3873781;Poor
July;24;Lawyer;61008;5235;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;14;19;15.44;17;;1755.81;25.47367254;9 Years and 3 Months;Yes;29071;123.6062227;460.4672466;Poor
August;24;Lawyer;61008;5235;10;5;32;4;Auto Loan, Auto Loan, Student Loan, and Home Equity Loan;16;19;19.44;17;Standard;1755.81;41.88727835;NA;Yes;189.4265307;196.6664451;387.4070242;Poor
January;19;Developer;28665.76;2582.813333;7;3;5;1;Debt Consolidation Loan;14;10;11.32;0;Standard;1237.46;36.6396993;24 Years and 3 Months;No;22.68817758;340.9908376;184.6023182;Standard
February;19;Developer;28665.76;2582.813333;7;3;5;1;Debt Consolidation Loan;16;10;0.32;0;Standard;1237.46;34.10061402;24 Years and 4 Months;No;22.68817758;182.0336712;323.5594845;Standard
March;19;_______;28665.76;2582.813333;7;3;5;1;Debt Consolidation Loan;16;13;4.32;0;Standard;1237.46;31.42349681;24 Years and 5 Months;NM;22.68817758;117.0473528;378.5458029;Standard
April;19;Developer;28665.76;;7;3;5;1;Debt Consolidation Loan;16;11;4.32;0;Standard;1237.46;33.37386506;24 Years and 6 Months;No;22.68817758;80.25709666;405.3360591;Standard
May;19;Developer;28665.76;2582.813333;7;1163;5;1;Debt Consolidation Loan;16;10;4.32;0;Standard;1237.46;36.48458788;24 Years and 7 Months;No;22.68817758;236.8815961;288.7115597;Standard
June;19;Developer;28665.76;;7;3;5;1;Debt Consolidation Loan;16;10;4.32;0;Standard;1237.46;33.84501778;24 Years and 8 Months;No;22.68817758;138.3066033;377.2865525;Standard
July;19;Developer;28665.76;2582.813333;7;3;5;1;Debt Consolidation Loan;16;12;4.32;0;Standard;1237.46;31.57468547;24 Years and 9 Months;No;22.68817758;;291.7291401;Standard
August;19;Developer;28665.76;2582.813333;7;3;713;1;Debt Consolidation Loan;16;10;4.32;0;;1237.46;33.53347693;24 Years and 10 Months;No;22.68817758;175.7926144;349.8005414;Standard
January;18;Lawyer;56803.71;4620.6425;7;5;25;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;51;26;16.23;11;Bad;2593.44;29.75653236;5 Years and 9 Months;Yes;187.1902189;10000;243.0942731;Standard
February;18;Lawyer;56803.71;4620.6425;7;5;25;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;46;23;16.23;11;Bad;2593.44;36.3448053;5 Years and 10 Months;NM;187.1902189;272.4220305;262.4520007;Standard
March;18;Lawyer;56803.71;;7;5;25;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;46;20;16.23;11;Bad;2593.44;27.19245683;5 Years and 11 Months;Yes;187.1902189;154.3728581;370.5011731;Standard
April;18;_______;56803.71;4620.6425;7;5;3951;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;46;23;21.23;11;;2593.44;32.07852764;6 Years and 0 Months;Yes;187.1902189;186.0685566;348.8054746;Standard
May;19;Lawyer;56803.71;4620.6425;7;5;25;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;46;24;16.23;11;Bad;2593.44;25.31414163;6 Years and 1 Months;NM;187.1902189;160.9121209;363.9619102;Standard
June;19;Lawyer;56803.71;4620.6425;7;5;25;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;46;23;16.23;11;;2593.44;38.78579181;6 Years and 2 Months;NM;187.1902189;94.38794945;420.4860817;Standard
July;19;Lawyer;56803.71;4620.6425;7;5;25;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;44;23;16.23;11;Bad;2593.44;34.3173365;6 Years and 3 Months;Yes;187.1902189;199.8510081;355.023023;Poor
August;19;Lawyer;56803.71;4620.6425;7;5;25;6;Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan;44;23;16.23;11;Bad;2593.44;27.15124298;NA;Yes;187.1902189;359.738694;205.1353372;Poor
January;31;Architect;38364.82;2904.068333;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;34;22;3.44;11;Bad;1973.63;37.66455307;NA;NM;74.85037188;74.79251895;390.7639425;Poor
February;31;Architect;38364.82;;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;34;22;3.44;11;Bad;1973.63;25.56656333;19 Years and 4 Months;Yes;74.85037188;280.3850232;225.1714383;Poor
March;32;Architect;38364.82;2904.068333;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;34;22;0.44;11;Bad;1973.63;26.07823491;19 Years and 5 Months;Yes;74.85037188;123.9038606;361.6526009;Poor
April;32;Architect;38364.82;2904.068333;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;34;22;3.44;11;Bad;1973.63;26.267351;19 Years and 6 Months;Yes;74.85037188;111.0394321;374.5170294;Poor
May;32;Architect;38364.82;;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;31;20;3.44;11;Bad;1973.63;32.1711038;19 Years and 7 Months;Yes;74.85037188;42.18845308;413.3680084;Poor
June;32;Architect;38364.82;2904.068333;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;34;22;3.44;11;Bad;1973.63;23.79219323;19 Years and 8 Months;NM;74.85037188;10000;327.0650688;Poor
July;32;Architect;38364.82;2904.068333;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;34;23;3.44;11;;1973.63;41.3820315;19 Years and 9 Months;Yes;74.85037188;41.52856863;424.0278928;Poor
August;32;Architect;38364.82;2904.068333;9;6;32;4;Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan;34;22;3.44;;Bad;1973.63;35.43225494;19 Years and 10 Months;Yes;74.85037188;73.01267544;402.543786;Poor
January;21;Lawyer;66528.24;;5;5;5189;0;;17;9;7.65;2;Standard;1460.8;26.42518128;22 Years and 4 Months;Yes;0;139.5745607;673.7274393;Standard
February;21;Lawyer;66528.24;5733.02;5;5;11;0;;19;8;13.65;2;Standard;1460.8;38.25186383;22 Years and 5 Months;Yes;0;38.94642667;774.3555733;Standard
March;21;Lawyer;66528.24;5733.02;5;5;11;0;;15;9;13.65;2;Standard;1460.8;32.53387309;22 Years and 6 Months;Yes;0;98.82755375;724.4744463;Standard
April;21;_______;66528.24;5733.02;5;5;11;0;;17;11;13.65;2;Standard;1460.8;36.63336352;22 Years and 7 Months;Yes;0;215.6186379;607.6833621;Standard
May;21;Lawyer;66528.24;5733.02;5;5;11;0;;17;12;13.65;2;;1460.8;34.37396536;NA;Yes;0;247.4272856;585.8747144;Standard
June;21;Lawyer;66528.24;5733.02;5;5;872;0;;17;9;13.65;2;Standard;1460.8;27.50257202;22 Years and 9 Months;Yes;0;97.04179086;716.2602091;Standard
July;21;Lawyer;66528.24;5733.02;5;5;11;0;;17;10;13.65;2;;1460.8;35.34067014;22 Years and 10 Months;Yes;0;106.2105466;717.0914534;Standard
August;22;Lawyer;66528.24;5733.02;5;5;11;0;;20;12;13.65;2;;1460.8;30.58597494;22 Years and 11 Months;NM;0;158.4202048;664.8817952;Standard
January;55;Doctor;19403.405;1904.950417;1;7;3;3;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;13;9;3.9;2;;339.11;31.22930685;16 Years and 4 Months;No;39.21491443;52.12810762;349.1520196;Standard
February;55;Doctor;19403.405;1904.950417;1;7;3;3;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;13;11;3.9;2;Good;339.11;36.5078306;16 Years and 5 Months;No;39.21491443;125.9483687;315.3317585;Standard
March;55;Doctor;19403.405;1904.950417;1;7;3;3;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;11;9;3.9;2;Good;339.11;33.68727673;16 Years and 6 Months;No;39.21491443;192.718754;248.5613732;Standard
April;55;Doctor;19403.405;1904.950417;1;7;3;-100;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;13;;3.9;2;;339.11;38.25840231;16 Years and 7 Months;NM;39.21491443;186.9890358;244.2910915;Standard
May;55;Doctor;19403.405;1904.950417;1;7;3;3;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;12;9;3.9;2;;339.11;36.82660981;16 Years and 8 Months;No;39.21491443;169.8581974;251.4219299;Standard
June;55;_______;19403.405;1904.950417;1;7;3;-100;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;13;9;;2;Good;339.11;25.84913168;NA;No;3125;71.55927579;329.7208514;Standard
July;55;Doctor;8908998;1904.950417;1;7;3;3;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;13;9;3.9;2;Good;339.11;34.28632546;16 Years and 10 Months;No;39.21491443;93.05878805;348.2213392;Poor
August;55;Doctor;19403.405;1904.950417;1;7;3;3;Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan;13;10;-1.1;2;Good;339.11;38.3686739;16 Years and 11 Months;No;39.21491443;214.8208575;226.4592697;Poor
January;19;Journalist;31122.79;2761.565833;7;5;12;0;;28;20;9.75;2;Standard;358.6;30.79484745;22 Years and 9 Months;No;0;220.5130602;325.6435231;Standard
February;19;Journalist;31122.79;2761.565833;7;5;12;0;;28;20;9.75;2;Standard;358.6;31.60070425;22 Years and 10 Months;No;0;249.6968801;306.4597033;Standard
March;19;Journalist;31122.79;2761.565833;7;5;12;0;;28;20;9.75;2;Standard;358.6;32.51956159;22 Years and 11 Months;No;0;57.2407224;458.9158609;Standard
April;19;Journalist;31122.79;;7;5;12;0;;28;21;2.75;4;Standard;358.6;26.85277506;NA;No;0;158.2697734;377.88681;Standard
May;19;Journalist;31122.79;2761.565833;7;5;12;0;;28;20;9.75;4;Standard;358.6;27.1376456;23 Years and 1 Months;No;0;230.722102;335.4344814;Standard
June;19;Journalist;31122.79;;7;5;12;0;;23;18;9.75;4;Standard;358.6;34.55576314;23 Years and 2 Months;No;0;200.0838001;346.0727832;Standard
July;19;Journalist;31122.79;2761.565833;7;5;12;0;;28;19;9.75;4;Standard;358.6;37.36020301;23 Years and 3 Months;No;0;372.6784246;193.4781587;Standard
August;19;Journalist;31122.79;2761.565833;7;5;12;0;;31;20;9.75;4;;358.6;41.00475108;NA;No;0;;446.7819896;Standard
January;19;_______;15015.4;1213.283333;5;5;9;1;Debt Consolidation Loan;23;9;5.04;1;Good;330.17;33.27002451;21 Years and 7 Months;No;11.68573457;92.11412378;307.528475;Poor
February;19;Architect;15015.4;;5;5;9;-100;Debt Consolidation Loan;25;10;5.04;1;Good;330.17;29.99075632;21 Years and 8 Months;No;11.68573457;75.14400572;324.4985931;Poor
March;19;Architect;15015.4;1213.283333;5;5;9;1;Debt Consolidation Loan;25;11;5.04;1;Good;330.17;24.24900974;21 Years and 9 Months;No;11.68573457;48.25865276;351.383946;Poor
April;19;Architect;15015.4;1213.283333;5;5;9;1;Debt Consolidation Loan;25;;1.04;1;Good;330.17;37.84241153;21 Years and 10 Months;NM;11.68573457;69.60003309;320.0425657;Poor
May;19;Architect;15015.4;1213.283333;5;5;9;1;Debt Consolidation Loan;21;14;5.04;1;;330.17;30.23488554;21 Years and 11 Months;No;11.68573457;136.4954553;263.1471434;Poor
June;20;Architect;15015.4;1213.283333;5;5;9;1;Debt Consolidation Loan;23;11;5.04;1;Good;330.17;29.92099563;22 Years and 0 Months;No;11.68573457;50.73793309;348.9046657;Poor
July;20;Architect;15015.4;1213.283333;5;5;9;1;Debt Consolidation Loan;25;11;5.04;1;;330.17;27.12472606;NA;No;11.68573457;143.6535739;255.9890249;Poor
August;20;Architect;15015.4;;5;5;9;1;Debt Consolidation Loan;27;8;5.04;1;Good;330.17;28.38062138;22 Years and 2 Months;No;11.68573457;162.5753084;237.0672904;Standard
January;34;Engineer;19777.05;1728.0875;5;3;3;3;Student Loan, Debt Consolidation Loan, and Auto Loan;19;3;5.95;1;Good;186.16;38.41845963;21 Years and 7 Months;No;29.04553332;10000;357.4905567;Poor
February;34;_______;19777.05;1728.0875;5;3;3;3;Student Loan, Debt Consolidation Loan, and Auto Loan;19;;;1;Good;186.16;26.60266394;21 Years and 8 Months;No;29.04553332;39.27209392;354.4911228;Poor
March;34;Engineer;19777.05;1728.0875;5;3;3;3;Student Loan, Debt Consolidation Loan, and Auto Loan;19;3;11.95;1;Good;186.16;26.27606328;NA;NM;29.04553332;25.1512005;368.6120162;Standard
April;34;Engineer;19777.05;1728.0875;5;3;3;3;Student Loan, Debt Consolidation Loan, and Auto Loan;24;3;5.95;1;;186.16;30.27714749;21 Years and 10 Months;No;29.04553332;193.1579358;240.6052809;Poor
May;34;Engineer;19777.05;1728.0875;5;3;3;3;Student Loan, Debt Consolidation Loan, and Auto Loan;22;3;5.95;1;;186.16;28.98331009;21 Years and 11 Months;No;29.04553332;;298.4092616;Poor
June;34;Engineer;19777.05;1728.0875;5;3;3;3;Student Loan, Debt Consolidation Loan, and Auto Loan;19;;5.95;1;Good;186.16;39.95698734;22 Years and 0 Months;No;29.04553332;10000;363.640576;Poor
July;34;Engineer;19777.05;1728.0875;5;3;2199;3;Student Loan, Debt Consolidation Loan, and Auto Loan;16;;-0.05;1;Good;186.16;24.62688823;22 Years and 1 Months;No;29.04553332;178.2016825;245.5615342;Poor
August;34;Engineer;19777.05;1728.0875;5;3;3;3;Student Loan, Debt Consolidation Loan, and Auto Loan;19;3;5.95;1;Good;186.16;38.13596102;22 Years and 2 Months;No;29.04553332;65.37503748;358.3881792;Poor
January;24;Musician;20188.02;1851.335;4;3;6;3;Mortgage Loan, Student Loan, and Mortgage Loan;10;5;1.31;0;;399.92;28.54258478;20 Years and 2 Months;No;25.58028082;147.6362135;281.9170057;Standard
February;24;Musician;20188.02;1851.335;4;3;6;3;Mortgage Loan, Student Loan, and Mortgage Loan;9;6;8.31;0;Good;399.92;31.3632289;20 Years and 3 Months;NM;25.58028082;35.50111934;364.0520998;Standard
